gender,belongatcc,soc,firstgen,raceclass,factsocial,factoutdoor,factacademic,factcounter,yearcat,female,newracec
0,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,3,3,3,3,sophomore,male,multi
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,3.3333333,3.2,3,freshman,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.8333333,3.3333333,2.5999999,2.25,sophomore,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,2.3333333,3.8,2.25,sophomore,female,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3,3.3333333,3,3,freshman,male,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,4,4,3.5999999,3.75,sophomore,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,3,3.2,2,freshman,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.5,1.6666666,3,3.5,freshman,female,white
1,2,soc,first gen-- neither parent has four year degree,FGSoC,2,1.6666666,2.75,2.75,sophomore,female,multi
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.3333333,2.6666667,2.8,3.5,sophomore,female,multi
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,3.1666667,3.6666667,3,2.5,sophomore,female,other
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3,3,2.2,1.5,freshman,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.8333333,3,3.2,3.25,freshman,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,3.3333333,3.4000001,2.25,freshman,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3,2.3333333,3,2.5,freshman,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,3.6666667,4,3.25,senior,female,white
1,3,soc,first gen-- neither parent has four year degree,FGSoC,2.6666667,2.6666667,2.8,2.5,senior,female,other
1,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.5,1.6666666,2.4000001,2.5,freshman,female,multi
4,3,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3.3333333,3,3,freshman,,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,2.3333333,2,2.8,2.25,junior,female,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3,3,3,sophomore,male,white
1,1,white,not first gen-- one or both parents with four year degree,NFGW,2.3333333,2.3333333,2.8,1.75,senior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,3.3333333,3.2,3,freshman,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3,3,3,3,senior,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3,2.6666667,3,2.75,senior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.6666667,1,2.5999999,2.25,senior,female,white
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,3,1.3333334,2.4000001,2,sophomore,female,multi
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.5,2.6666667,3,2.25,senior,female,asian
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3.3333333,3.4000001,2.75,junior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,2.6666667,3.4000001,2.75,senior,female,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,3.6666667,3.2,3.75,senior,male,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,2.6666667,3,2.4000001,2.75,senior,female,white
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.1666667,2,2.2,2.75,senior,female,multi
0,4,soc,first gen-- neither parent has four year degree,FGSoC,3.1666667,3.3333333,3.2,2.5,sophomore,male,asian
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.8333333,3.3333333,3.8,3.5,senior,female,white
0,2,white,not first gen-- one or both parents with four year degree,NFGW,1.8333334,1.6666666,2.4000001,1,senior,male,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,3,3.2,3,sophomore,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,4,3.3333333,3.4000001,3,sophomore,female,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,2.1666667,2,3,1,senior,female,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3,3.3333333,3,2.25,senior,male,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3,4,3,1.75,junior,female,white
1,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.8333333,1,2.5999999,2,sophomore,female,other
0,3,white,not first gen-- one or both parents with four year degree,NFGW,2.5,2.6666667,2.8,1.5,junior,male,white
1,1,soc,not first gen-- one or both parents with four year degree,NFGSoC,1,1,2.8,2.25,sophomore,female,black
1,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.1666667,2,2.5999999,2.75,sophomore,female,hispanic
1,4,soc,not first gen-- one or both parents with four year degree,NFGSoC,4,3,3.8,3.25,senior,female,multi
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,3,2.8,2.25,senior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.6666667,3,2.8,3.25,freshman,female,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3.5,4,3.8,3,senior,male,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.5,3.6666667,4,3.25,senior,female,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,2.5,1.3333334,1.8,1.75,senior,female,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,2.5,1.6666666,2.8,2.5,senior,female,white
0,1,white,not first gen-- one or both parents with four year degree,NFGW,1.6666666,3.3333333,1.8,1.75,senior,male,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,2.1666667,2.6666667,2.5999999,2.25,senior,female,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,2,2.3333333,3.5999999,3.5,senior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.3333333,2,2.8,2,sophomore,female,white
1,4,soc,not first gen-- one or both parents with four year degree,NFGSoC,3.6666667,3.6666667,3.2,3,freshman,female,multi
1,4,white,first gen-- neither parent has four year degree,FGW,4,3.3333333,3.4000001,2.5,senior,female,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,4,4,1.75,junior,male,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3,2.3333333,2.8,2.75,junior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3,4,3.2,3,junior,female,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,1,3.8,2.75,senior,male,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3,3.3333333,2.5999999,2.25,senior,male,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3,2.8,2.5,junior,female,white
0,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.6666667,2.6666667,2.5999999,1.75,senior,male,multi
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3,4,3,2.5,junior,male,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,2.6666667,3,2.25,senior,male,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,3.3333333,3.4000001,3.5,junior,female,white
0,4,soc,not first gen-- one or both parents with four year degree,NFGSoC,3.8333333,3.3333333,4,3,junior,male,multi
0,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,2,2.3333333,2.8,2.5,junior,male,hispanic
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,1,2.5999999,1.5,junior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2,1,2.5999999,2.75,junior,female,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3.5,2.3333333,3.4000001,3.5,senior,male,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3,2.3333333,3,2.25,senior,female,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,3,2.5999999,2.75,junior,male,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3,3.2,2,senior,female,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3.3333333,2.8,2.5,junior,male,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,3,2.8,2.5,senior,male,white
0,4,soc,not first gen-- one or both parents with four year degree,NFGSoC,3.8333333,3.6666667,3,2.75,senior,male,multi
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3,3.6666667,3,3,junior,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,3,3.2,2.25,junior,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,4,3.6666667,3.8,3.75,freshman,female,white
0,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.3333333,3,2.5999999,3.25,sophomore,male,asian
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,4,3.5999999,2.75,junior,female,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,3,3.2,2.25,senior,male,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,4,3,3,junior,male,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,3,3.5999999,3.25,freshman,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3.3333333,3.2,2.75,sophomore,female,white
1,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.3333333,1.3333334,2,2.75,freshman,female,asian
1,1,white,not first gen-- one or both parents with four year degree,NFGW,1.1666666,1.3333334,2.4000001,1.25,junior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.5,2,2.8,3,junior,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.8333333,4,3.5999999,2.75,freshman,female,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3.6666667,3.4000001,2.75,junior,male,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3.3333333,2.8,3,junior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,2.3333333,3,3,junior,female,white
0,1,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.1666667,2.3333333,2.8,2,senior,male,multi
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,3.1666667,2.3333333,3,2.75,junior,female,multi
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,2.3333333,3.2,2.5,senior,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.5,3.6666667,3.5999999,2.75,sophomore,female,white
4,4,white,not first gen-- one or both parents with four year degree,NFGW,3.8333333,2.3333333,3.2,2.75,senior,,white
1,4,soc,not first gen-- one or both parents with four year degree,NFGSoC,3.5,3.3333333,3.8,3.75,sophomore,female,black
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.6666667,2.6666667,3,3,senior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3,3,2.8,2,junior,female,white
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.5,2.6666667,2.8,3,freshman,female,black
,,,,,,,,,,,
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,sophomore,female,multi
,,,,,,,,,,,
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3.5,4,3.2,3.25,senior,male,white
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,freshman,female,asian
0,,white,not first gen-- one or both parents with four year degree,NFGW,,,2.5999999,,senior,male,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,freshman,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3,2,4,3,junior,female,white
,,,,,,,,,,,
,,,,,,,,,,,
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
1,,white,first gen-- neither parent has four year degree,FGW,,,,,,female,white
0,2,white,not first gen-- one or both parents with four year degree,NFGW,1.1666666,1.6666666,2.8,2.75,sophomore,male,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,2,2.2,2.75,senior,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.5,3,3.2,2.75,sophomore,female,white
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,3.1666667,2.3333333,3.2,2.5,senior,female,asian
0,,white,not first gen-- one or both parents with four year degree,NFGW,,3.3333333,3.4000001,,sophomore,male,white
0,3,,not first gen-- one or both parents with four year degree,,3,2.6666667,3.2,2.5,junior,male,
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3,2.6666667,3,2.75,sophomore,male,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,2.6666667,3,2.5,sophomore,female,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,3,3,3,junior,male,white
1,4,white,first gen-- neither parent has four year degree,FGW,3.8333333,3,3.2,3,,female,white
0,4,soc,not first gen-- one or both parents with four year degree,NFGSoC,3.3333333,3.3333333,3,3.75,senior,male,multi
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3.3333333,3,3,freshman,female,white
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,sophomore,female,multi
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,4,3,2.75,junior,male,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3.3333333,3.4000001,1,senior,female,white
,,,,,,,,,,,
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,3,3,2.75,sophomore,female,white
,,,,,,,,,,,
1,,,not first gen-- one or both parents with four year degree,,,,,,senior,female,
0,3,white,not first gen-- one or both parents with four year degree,NFGW,2.1666667,2.6666667,3,3,freshman,male,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3,2.6666667,2.5999999,2.25,freshman,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,3.3333333,3.4000001,3.25,freshman,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,2.3333333,2.8,3,junior,female,white
,,,,,,,,,,,
1,,white,first gen-- neither parent has four year degree,FGW,,,,,junior,female,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,2.6666667,3,3.4000001,3,junior,female,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,2.1666667,2,2.8,2.75,sophomore,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,4,3.5999999,2.75,senior,female,white
0,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.8333333,2.3333333,2.8,2.75,freshman,male,multi
1,3,soc,first gen-- neither parent has four year degree,FGSoC,2,1,3.2,3,sophomore,female,multi
1,4,white,first gen-- neither parent has four year degree,FGW,3.8333333,3.3333333,4,4,senior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3,3.5,3,3,freshman,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,3,3.2,3.25,junior,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,2.3333333,3.2,2.5,sophomore,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,4,2.3333333,4,4,sophomore,female,white
1,4,soc,not first gen-- one or both parents with four year degree,NFGSoC,3.1666667,3,3,3,sophomore,female,asian
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.5,3.6666667,3,3.25,sophomore,female,white
,,,,,,,,,,,
1,2,soc,first gen-- neither parent has four year degree,FGSoC,3,2.3333333,2.2,2.25,junior,female,multi
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,2.6666667,3,2.75,senior,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3,3,3,2.75,junior,female,white
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.6666667,2.6666667,3,3,freshman,female,other
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.6666667,1.6666666,3,3.25,senior,female,black
,,,,,,,,,,,
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3.3333333,3,2.5,freshman,female,white
,,,,,,,,,,,
,,,,,,,,,,,
0,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,male,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3,1,3,2.25,senior,male,white
1,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.5,2,2.2,2.5,sophomore,female,multi
1,2,white,not first gen-- one or both parents with four year degree,NFGW,2.1666667,1.6666666,3.2,2,senior,female,white
0,2,white,not first gen-- one or both parents with four year degree,NFGW,1.6666666,1.6666666,3.2,1.6666666,senior,male,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3,3,2.8,3,senior,male,white
1,,soc,first gen-- neither parent has four year degree,FGSoC,,,,,junior,female,hispanic
0,3,white,not first gen-- one or both parents with four year degree,NFGW,2.5,2.3333333,2.5999999,2,junior,male,white
1,3,soc,first gen-- neither parent has four year degree,FGSoC,2.8333333,2.3333333,2.5999999,2.25,sophomore,female,multi
0,,,not first gen-- one or both parents with four year degree,,2.4000001,2.6666667,3.2,,freshman,male,
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,sophomore,female,white
1,2,soc,first gen-- neither parent has four year degree,FGSoC,1.6666666,1,3.5999999,2.5,freshman,female,black
,,,,,,,,,,,
1,,white,not first gen-- one or both parents with four year degree,NFGW,2.75,2.3333333,2.4000001,,senior,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
,,,,,,,,,,,
0,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,male,white
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,freshman,female,multi
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
,,,,,,,,,,,
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
,,,,,,,,,,,
,,,,,,,,,,,
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,sophomore,female,multi
0,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,junior,male,multi
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,senior,female,asian
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,3.3333333,3.2,3,junior,female,white
,,,,,,,,,,,
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,3,3.5999999,3.75,sophomore,female,white
,,,,,,,,,,,
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
0,,white,not first gen-- one or both parents with four year degree,NFGW,,3,3,,sophomore,male,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,3,2.5999999,2.75,senior,male,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
,,,,,,,,,,,
1,,soc,first gen-- neither parent has four year degree,FGSoC,,,,,senior,female,hispanic
,,,,,,,,,,,
,,,,,,,,,,,
1,,soc,first gen-- neither parent has four year degree,FGSoC,,,,,junior,female,multi
1,,white,first gen-- neither parent has four year degree,FGW,,3,3.4000001,,junior,female,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,3.6666667,3.75,2.75,senior,male,white
,,,,,,,,,,,
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,3,2.6666667,2.8,3,junior,female,multi
0,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,sophomore,male,multi
,,,,,,,,,,,
,,,,,,,,,,,
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,freshman,female,multi
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,sophomore,female,multi
1,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,3,1.6666666,3,3,senior,female,multi
1,,soc,first gen-- neither parent has four year degree,FGSoC,,,,,senior,female,multi
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
,,,,,,,,,,,
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,sophomore,female,white
0,,soc,first gen-- neither parent has four year degree,FGSoC,,,,,junior,male,black
0,,white,first gen-- neither parent has four year degree,FGW,,,,,junior,male,white
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,freshman,female,multi
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
0,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,3,1.6666666,3,2.75,junior,male,asian
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.5,2.3333333,2.5999999,2.25,freshman,female,multi
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,sophomore,female,multi
,,,,,,,,,,,
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.6666667,3.3333333,3.2,3,freshman,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,sophomore,female,white
