fips,poptot,whitenh,pwhitenh,blacknh,pblacknh,mhi,medyrblt,povstat,povbelow,ppov
42003010300,3922,3024,77.10351861,521,13.28403876,11515,1939,1083,635,58.63
42003020100,5222,2910,55.72577556,2067,39.58253543,20500,1960,2082,704,33.81
42003020300,266,97,36.46616541,154,57.89473684,41719,1939,315,115,36.51
42003030500,2724,283,10.38913363,2367,86.89427313,13449,1979,2693,897,33.31
42003040200,2272,907,39.92077465,1200,52.81690141,23517,1945,1302,386,29.65
42003040300,4439,3556,80.10813246,542,12.2099572,90615,1939,153,0,0
42003040400,2562,1840,71.81889149,70,2.732240437,17022,1953,2332,894,38.34
42003040500,3010,2375,78.90365449,171,5.681063123,14178,1942,2798,1597,57.08
42003040600,2271,1774,78.11536768,132,5.812417437,15597,1946,2237,1184,52.93
42003040900,3007,1866,62.05520452,846,28.13435318,24190,1939,2899,842,29.04
42003050100,2143,44,2.053196454,2070,96.59356043,21633,1946,2108,707,33.54
42003050600,2246,232,10.32947462,1947,86.68744435,28274,1939,2253,386,17.13
42003050700,2856,1912,66.94677871,394,13.79551821,16958,1944,3034,1296,42.72
42003050900,2109,36,1.706970128,2013,95.44807966,8955,1944,2137,1332,62.33
42003051000,1250,58,4.64,1151,92.08,7417,1951,1205,661,54.85
42003051100,1381,8,0.579290369,1346,97.46560463,7042,1947,1398,943,67.45
42003060300,2585,1855,71.76015474,583,22.55319149,20547,1939,2600,741,28.5
42003060500,1488,1226,82.39247312,177,11.89516129,19353,1939,1466,310,21.15
42003070300,2224,1813,81.51978417,128,5.755395683,38015,1941,2053,466,22.7
42003070500,3138,2426,77.31038878,287,9.145952836,30056,1941,3148,636,20.2
42003070600,1977,1607,81.28477491,63,3.186646434,42031,1944,1979,245,12.38
42003070800,1667,1222,73.30533893,114,6.838632274,40714,1949,1623,182,11.21
42003070900,4748,3162,66.59646167,385,8.108677338,27727,1954,4243,1041,24.53
42003080200,1828,1726,94.42013129,44,2.407002188,23491,1939,1869,346,18.51
42003080400,1413,1068,75.58386412,147,10.40339703,20849,1939,1360,329,24.19
42003080600,2118,1718,81.11425873,191,9.017941454,28200,1939,2071,405,19.56
42003080700,1791,1053,58.79396985,504,28.14070352,22358,1939,1783,432,24.23
42003080900,1920,1505,78.38541667,278,14.47916667,22339,1939,1793,291,16.23
42003090100,1957,1796,91.77312213,102,5.212059274,24488,1939,1875,236,12.59
42003090200,3149,2930,93.04541124,124,3.937758018,19213,1939,2897,712,24.58
42003090300,1810,1606,88.72928177,96,5.303867403,24278,1939,1977,230,11.63
42003100500,2100,694,33.04761905,1323,63,40478,1953,2227,256,11.5
42003101100,2899,2476,85.40876164,315,10.8658158,24883,1939,2726,619,22.71
42003101400,3549,3101,87.37672584,344,9.692871231,35980,1939,3549,252,7.1
42003101600,1879,64,3.406067057,1746,92.9217669,11563,1944,1937,1300,67.11
42003101700,2004,415,20.70858283,1427,71.20758483,25769,1939,1932,506,26.19
42003101800,2742,2273,82.89569657,401,14.62436178,47630,1945,2742,78,2.84
42003110200,4233,2527,59.69761399,1416,33.45145287,34572,1939,4177,608,14.56
42003110600,2516,1833,72.85373609,558,22.17806041,50850,1939,2560,192,7.5
42003111300,3188,774,24.27854454,2195,68.85194479,22231,1939,2991,670,22.4
42003111400,1567,113,7.211231653,1340,85.51372049,23563,1943,1474,365,24.76
42003111500,3683,685,18.59896823,2762,74.99321206,15325,1964,3791,1341,35.37
42003120100,1684,353,20.96199525,1255,74.52494062,18894,1959,1181,462,39.12
42003120200,1632,19,1.164215686,1559,95.52696078,31667,1946,1643,299,18.2
42003120300,2234,85,3.804834378,2079,93.06177261,19649,1939,2201,525,23.85
42003120400,1274,70,5.494505495,1125,88.30455259,17045,1939,1281,433,33.8
42003120700,1114,32,2.872531418,1042,93.53680431,20658,1939,991,143,14.43
42003120800,1328,149,11.21987952,1143,86.06927711,19911,1952,1236,287,23.22
42003130100,2637,33,1.251422071,2513,95.29768677,17445,1942,2696,1092,40.5
42003130200,1885,14,0.74270557,1829,97.02917772,21012,1939,1914,647,33.8
42003130300,1913,20,1.045478306,1830,95.66126503,13391,1944,1855,693,37.36
42003130400,1734,9,0.519031142,1688,97.34717416,20057,1943,1694,665,39.26
42003130600,3951,112,2.834725386,3690,93.39407745,17159,1961,3897,1430,36.69
42003140100,5538,3817,68.92379921,181,3.268327916,90370,1939,2578,398,15.44
42003140200,2435,1742,71.54004107,119,4.887063655,39776,1951,2290,489,21.35
42003140300,3422,3080,90.00584454,88,2.571595558,64074,1939,3392,233,6.87
42003140400,2356,2176,92.35993209,47,1.994906621,86628,1939,2381,71,2.98
42003140500,2304,625,27.12673611,1556,67.53472222,35417,1943,2260,194,8.58
42003140600,3309,2837,85.73587186,284,8.58265337,56467,1939,3295,233,7.07
42003140800,4383,3867,88.22724162,118,2.692219941,46763,1939,4377,444,10.14
42003141000,1131,1055,93.28028294,35,3.094606543,54450,1939,1137,72,6.33
42003141100,1378,1326,96.22641509,22,1.596516691,53456,1946,1372,59,4.3
42003141300,4950,4095,82.72727273,228,4.606060606,36637,1941,4611,571,12.38
42003141400,5174,4493,86.83803634,150,2.899110939,37580,1942,4932,558,11.31
42003150100,1948,1452,74.53798768,446,22.89527721,25656,1939,1956,345,17.64
42003150400,805,192,23.85093168,581,72.17391304,9315,1973,602,364,60.47
42003151500,3386,1855,54.78440638,1375,40.60838748,23569,1939,3355,927,27.63
42003151600,2608,2539,97.35429448,25,0.958588957,34125,1939,2539,194,7.64
42003151700,5224,4700,89.96937213,178,3.407350689,37101,1941,5224,420,8.04
42003160300,1999,1714,85.74287144,257,12.85642821,27167,1939,1958,509,26
42003160400,238,47,19.74789916,183,76.8907563,18646,1939,290,60,20.69
42003160600,1453,186,12.80110117,1218,83.82656573,15395,1961,1424,783,54.99
42003160700,584,464,79.45205479,113,19.34931507,28295,1939,649,210,32.36
42003160800,2961,2757,93.11043566,134,4.525498143,32889,1939,2937,420,14.3
42003160900,2181,2036,93.35167354,87,3.988995873,22639,1939,2006,499,24.88
42003170200,3545,3362,94.83779972,58,1.636107193,26761,1939,3527,729,20.67
42003170600,2046,1906,93.15738025,86,4.203323558,27870,1939,2036,327,16.06
42003180300,3220,2485,77.17391304,643,19.9689441,22539,1939,3177,768,24.17
42003180600,889,856,96.287964,17,1.912260967,40417,1947,878,103,11.73
42003180700,2349,1983,84.41890166,308,13.11196254,31169,1939,2299,373,16.22
42003180900,2783,342,12.28889687,2271,81.60258714,26750,1939,2824,734,25.99
42003190300,2159,2068,95.78508569,42,1.945345067,39595,1939,2133,152,7.13
42003191100,2696,2532,93.91691395,66,2.448071217,42708,1944,2716,445,16.38
42003191400,3061,2782,90.88533159,180,5.880431232,27500,1939,3041,525,17.26
42003191500,2309,2131,92.29103508,102,4.417496752,29063,1939,2310,428,18.53
42003191600,4661,4122,88.43595795,352,7.552027462,37484,1939,4625,566,12.24
42003191700,3634,3449,94.90919097,87,2.394056136,37120,1951,3624,300,8.28
42003191800,5818,5586,96.01237539,51,0.876589893,38388,1942,5807,585,10.07
42003191900,2447,2335,95.4229669,36,1.471189211,36543,1939,2415,196,8.12
42003192000,4111,3792,92.24033082,144,3.502797373,30673,1942,4102,326,7.95
42003192100,56,38,67.85714286,13,23.21428571,12188,1965,73,44,60.27
42003201600,530,503,94.90566038,9,1.698113208,32292,1948,504,45,8.93
42003201700,495,394,79.5959596,87,17.57575758,28000,1939,465,71,15.27
42003201800,3053,2168,71.01211923,750,24.56600066,36786,1939,3076,461,14.99
42003201900,466,289,62.01716738,165,35.40772532,21382,1939,306,35,11.44
42003202000,2954,2387,80.8056872,436,14.75964794,29954,1939,2958,429,14.5
42003202100,595,150,25.21008403,428,71.93277311,31806,1953,618,86,13.92
42003202200,2996,2375,79.27236315,509,16.98931909,32217,1946,3018,543,17.99
42003202300,4540,4014,88.41409692,157,3.45814978,38555,1964,4322,318,7.36
42003210700,2506,300,11.97126895,2134,85.1556265,24055,1939,2465,570,23.12
42003210800,39,13,33.33333333,24,61.53846154,7440,1975,41,21,51.22
42003220100,508,378,74.40944882,104,20.47244094,26638,1939,502,97,19.32
42003220400,886,455,51.35440181,381,43.00225734,16964,1967,836,396,47.37
42003220500,270,224,82.96296296,23,8.518518519,70125,1996,230,9,3.91
42003220600,1938,994,51.28998968,851,43.91124871,25104,1939,1885,525,27.85
42003230400,2635,1865,70.77798861,634,24.06072106,17267,1939,2640,847,32.08
42003240600,2540,2455,96.65354331,32,1.25984252,28137,1939,2633,292,11.09
42003241200,1254,1116,88.99521531,93,7.416267943,30050,1939,1155,215,18.61
42003250300,1262,307,24.32646593,917,72.66244057,22736,1939,1219,405,33.22
42003250700,973,189,19.42446043,751,77.18396711,23750,1939,936,373,39.85
42003250900,1751,814,46.4877213,850,48.54368932,17535,1940,1799,622,34.57
42003260200,2772,2155,77.74170274,488,17.6046176,42622,1939,2767,349,12.61
42003260700,1897,1199,63.20506062,618,32.57775435,42788,1939,1837,204,11.11
42003260900,2526,56,2.216943785,2404,95.17022961,9256,1964,2544,1783,70.09
42003261200,1077,917,85.14391829,137,12.72051996,39018,1951,1092,84,7.69
42003261400,3293,947,28.75797145,2235,67.87124203,25217,1939,3241,1011,31.19
42003261500,1983,694,34.99747857,1169,58.95108422,26603,1948,1949,489,25.09
42003262000,3040,2314,76.11842105,678,22.30263158,20926,1939,2932,679,23.16
42003270100,2868,2422,84.44909344,377,13.14504881,39510,1939,2805,170,6.06
42003270300,2129,1791,84.12400188,261,12.25927666,26508,1939,2239,244,10.9
42003270400,3026,1390,45.93522802,1486,49.10773298,28214,1939,1097,203,18.51
42003270800,3053,2792,91.45103177,197,6.452669505,37381,1939,2948,334,11.33
42003271500,3925,3152,80.30573248,647,16.48407643,29828,1939,3903,562,14.4
42003280500,485,425,87.62886598,54,11.13402062,26429,1939,474,140,29.54
42003280700,1447,1012,69.93780235,399,27.57429164,31601,1957,1456,167,11.47
42003280800,1099,60,5.459508644,975,88.71701547,11222,1948,1054,581,55.12
42003281100,3093,2813,90.94730036,129,4.17070805,36820,1952,3051,220,7.21
42003281200,1028,949,92.3151751,38,3.696498054,29716,1954,1040,79,7.6
42003281400,2571,1619,62.97160638,840,32.67211202,30403,1951,2578,517,20.05
42003281500,1628,1498,92.01474201,87,5.343980344,40847,1939,1611,112,6.95
42003290100,2191,2059,93.97535372,88,4.016430853,29688,1939,2162,251,11.61
42003290200,4320,4170,96.52777778,66,1.527777778,27738,1939,4305,410,9.52
42003290400,4174,4027,96.47819837,68,1.629132726,31736,1939,4165,514,12.34
42003300100,4432,2773,62.56768953,1478,33.34837545,26488,1939,4407,783,17.77
42003310100,457,448,98.03063457,1,0.218818381,23125,1939,461,72,15.62
42003310200,3671,3599,98.03868156,18,0.49032961,38889,1950,3702,235,6.35
42003310300,937,812,86.65955176,88,9.39167556,42019,1958,892,28,3.14
42003320400,2244,2151,95.85561497,62,2.762923351,38555,1946,2212,269,12.16
42003320600,2419,2301,95.12195122,74,3.059115337,40331,1948,2438,185,7.59
42003320700,1797,1737,96.66110184,11,0.61213133,37407,1942,1800,133,7.39
42003401100,4642,4502,96.9840586,70,1.507970702,38011,1956,4628,289,6.24
42003401200,3458,3048,88.14343551,296,8.559861191,23654,1939,3434,854,24.87
42003401300,2834,2778,98.02399435,33,1.164431898,39226,1949,2834,96,3.39
42003402000,3543,3355,94.69376235,122,3.44340954,30050,1939,3418,322,9.42
42003403500,4993,4657,93.27057881,181,3.625075105,26895,1939,4976,776,15.59
42003404000,1362,1319,96.84287812,26,1.908957416,30078,1939,1303,103,7.9
42003405000,1286,1279,99.45567652,1,0.077760498,40515,1955,1284,83,6.46
42003406000,2504,2468,98.56230032,5,0.199680511,37102,1956,2501,160,6.4
42003407001,4680,4620,98.71794872,8,0.170940171,39430,1957,4680,444,9.49
42003407002,6883,6783,98.54714514,26,0.377742264,52989,1972,6816,275,4.03
42003408001,4325,4219,97.54913295,20,0.462427746,52344,1963,4087,193,4.72
42003408002,4906,4812,98.0839788,23,0.468813698,60784,1967,4906,253,5.16
42003409000,7683,7423,96.61590525,61,0.793960692,85817,1983,7627,290,3.8
42003410000,1149,1124,97.82419495,0,0,92820,1966,1149,16,1.39
42003411000,5996,5716,95.33022015,65,1.084056037,102351,1983,5982,348,5.82
42003412001,6501,6139,94.4316259,74,1.138286417,86158,1983,6484,305,4.7
42003412002,4863,4614,94.87970389,41,0.843100966,89353,1975,4863,42,0.86
42003413100,6773,6204,91.59899601,123,1.816034254,75454,1982,6614,229,3.46
42003413201,3850,3658,95.01298701,33,0.857142857,58843,1965,3850,90,2.34
42003413202,2715,2621,96.53775322,13,0.478821363,58750,1970,2715,59,2.17
42003413300,5116,4971,97.1657545,19,0.371383894,59826,1965,4827,145,3
42003413400,4584,4335,94.56806283,44,0.959860384,74146,1968,4584,178,3.88
42003413500,5984,5514,92.14572193,136,2.272727273,53689,1968,5419,431,7.95
42003414101,5612,5481,97.66571632,33,0.588025659,61021,1976,5612,186,3.31
42003414102,5971,5762,96.49974879,56,0.937866354,60168,1969,5971,161,2.7
42003414200,5943,5803,97.6442874,27,0.454316002,60000,1958,5849,274,4.68
42003415001,4042,3912,96.78377041,53,1.311232063,49902,1960,3912,312,7.98
42003415002,2767,2583,93.35019877,35,1.264907842,66154,1956,2587,104,4.02
42003416000,1802,1793,99.50055494,1,0.055493896,39071,1956,1806,90,4.98
42003417100,2400,2381,99.20833333,2,0.083333333,35771,1948,2391,126,5.27
42003417200,1428,1406,98.45938375,9,0.630252101,34306,1945,1423,170,11.95
42003418000,1899,1880,98.99947341,5,0.263296472,40625,1953,1896,70,3.69
42003419000,3242,3153,97.254781,22,0.678593461,38625,1959,3236,212,6.55
42003420000,1550,1440,92.90322581,16,1.032258065,30203,1953,1539,134,8.71
42003421100,4197,3938,93.82892542,53,1.262806767,65540,1966,3925,210,5.35
42003421200,4659,4418,94.82721614,20,0.429276669,69332,1958,4659,99,2.12
42003422000,5436,5042,92.75202355,30,0.55187638,147298,1964,5415,258,4.76
42003423000,2960,2878,97.22972973,8,0.27027027,41993,1939,2960,176,5.95
42003424000,3594,3312,92.15358932,136,3.784084585,22828,1939,3535,587,16.61
42003425000,3924,3798,96.78899083,30,0.764525994,31529,1939,3872,357,9.22
42003426300,6194,6101,98.49854698,23,0.371327091,55179,1958,6194,196,3.16
42003426400,4819,4720,97.94563187,30,0.622535796,41250,1951,4812,200,4.16
42003426700,2664,2470,92.71771772,16,0.600600601,45417,1962,2664,181,6.79
42003426800,5295,5188,97.97922568,10,0.188857413,62861,1967,5289,111,2.1
42003427000,4028,3887,96.49950348,39,0.968222443,26509,1939,3970,526,13.25
42003427100,5605,5471,97.60927743,17,0.303300624,56276,1961,5605,162,2.89
42003427200,5180,5067,97.81853282,25,0.482625483,38639,1953,5129,510,9.94
42003428100,1424,1400,98.31460674,11,0.77247191,38378,1939,1413,134,9.48
42003428200,2432,2365,97.24506579,41,1.685855263,39975,1957,2443,188,7.7
42003429100,2814,2690,95.59346127,54,1.918976546,42292,1954,2672,168,6.29
42003429201,4463,4126,92.44902532,68,1.523638808,65616,1972,4162,108,2.59
42003429202,4674,4461,95.44287548,40,0.855798032,56038,1960,4670,198,4.24
42003429300,5889,5757,97.75853286,33,0.560366786,44656,1963,5666,71,1.25
42003429400,4618,4528,98.05110437,25,0.541359896,49922,1954,4618,129,2.79
42003429500,4274,3953,92.48947122,87,2.035563875,36068,1965,4268,244,5.72
42003429600,3397,3161,93.05269355,135,3.97409479,42940,1956,3384,324,9.57
42003429700,2422,2370,97.85301404,17,0.701899257,37520,1960,2393,83,3.47
42003430100,2345,2277,97.10021322,29,1.236673774,38699,1940,2315,122,5.27
42003430200,4932,4808,97.48580697,38,0.770478508,37784,1946,4926,338,6.86
42003431100,3555,3274,92.09563994,170,4.781997187,30536,1939,3549,584,16.46
42003431400,1822,1722,94.5115258,62,3.402854007,35964,1939,1833,159,8.67
42003431500,3393,3149,92.80872384,150,4.42086649,30033,1942,3370,330,9.79
42003432300,2317,2139,92.31765214,121,5.222270177,27604,1948,2348,224,9.54
42003432400,2977,2759,92.6771918,135,4.534766544,30201,1939,2909,371,12.75
42003433000,392,384,97.95918367,1,0.255102041,105006,1939,385,7,1.82
42003434000,1917,1830,95.46165884,47,2.451747522,54926,1939,1909,86,4.5
